word,frequency
life,19566
love,18563
scenes,13278
action,12483
scene,12436
real,12329
plot,12058
cast,11943
funny,11357
comedy,11205
bad,10673
role,10550
director,10246
performance,9818
family,9783
fun,9635
acting,9577
original,8949
pretty,8625
feel,8474
actors,8387
music,7607
john,7419
job,7112
day,6846
performances,6706
beautiful,6531
horror,6520
sense,6515
hard,6428
true,6403
moments,6337
father,6334
excellent,6221
audience,6216
girl,6208
set,6172
series,6170
american,5990
perfect,5910
war,5906
script,5801
actor,5732
guy,5717
wife,5686
worth,5434
main,5347
classic,5309
wonderful,5231
special,5200
